Euler;Mils;RK1;Platen;
1,560188;1,472265;1,468923;0,464344;0::5100::50
1,737707;1,673225;1,670219;1,041551;
0,417111;0,419855;0,421778;0,948578;
0,521588;0,5341;0,53619;1,395043;
0,935429;0,95846;0,960711;1,388592;
0,663027;0,693545;0,695923;0,61607;
0,983538;1,015681;1,018113;0,410127;
1,184082;1,214068;1,216467;0,544559;
0,182627;0,215176;0,217593;0,095031;
0,398504;0,361694;0,359209;1,013937;
0,696603;0,663517;0,661131;0,885367;
1,240755;1,212869;1,210609;0,91034;
1,28005;1,256115;1,253908;0,728545;
1,636579;1,610307;1,608078;0,825907;
1,653034;1,62738;1,625162;1,237805;
1,615245;1,585004;1,582708;1,040755;
1,649404;1,619083;1,616789;0,630324;
1,387937;1,355594;1,353256;0,95504;
1,207491;1,184332;1,182161;0,845345;
0,910263;0,890451;0,888326;1,215144;
0,731569;0,711363;0,709217;1,021818;
0,675914;0,655807;0,653659;1,149418;
0,734127;0,712057;0,709886;1,34783;
0,481355;0,462946;0,460836;1,580378;
0,698763;0,680412;0,678314;1,402861;
0,637146;0,617853;0,615728;1,407162;
0,480655;0,459779;0,457618;1,218943;
0,231161;0,211258;0,209106;1,110817;
0,234956;0,214756;0,212608;0,996527;
0,093986;0,072731;0,070566;0,942713;
0,122332;0,141442;0,143578;0,928473;
0,007298;0,026821;0,028971;1,101584;
0,259985;0,243654;0,241567;1,012108;
0,490427;0,474374;0,472305;1,070517;
0,325319;0,310642;0,308593;0,97797;
0,308584;0,293245;0,291187;0,936764;
0,496074;0,480497;0,478445;1,06519;
0,360288;0,344623;0,342559;1,080532;
0,318113;0,301757;0,29969;1,172844;
0,385095;0,369993;0,367948;0,994591;
0,402061;0,388332;0,386318;1,158244;
0,418274;0,405166;0,403167;1,085783;
0,461677;0,448328;0,446333;1,09392;
0,226623;0,215124;0,213152;0,962212;
0,188808;0,177427;0,175457;0,769707;
0,190262;0,179281;0,177311;0,79246;
0,006995;0,016188;0,018137;0,814255;
0,065164;0,055679;0,05372;0,915457;
0,098673;0,089161;0,087204;0,883395;
0,226978;0,217773;0,215826;1,092825;
0,138685;0,126602;0,12459;1,162022;
0,131092;0,11952;0,117521;1,28488;
0,199039;0,187151;0,185144;1,304329;
0,230798;0,217741;0,215713;1,363205;
0,322031;0,309717;0,307708;1,384564;
0,362167;0,350856;0,348877;1,405661;
0,495731;0,484955;0,482994;1,341347;
0,505577;0,495557;0,493616;1,263474;
0,48015;0,470779;0,468837;1,169287;
0,493364;0,48426;0,482326;1,126597;
0,448734;0,439855;0,437933;1,16557;
0,470028;0,460781;0,458851;1,074419;
0,393854;0,384666;0,382738;1,10241;
0,305549;0,294815;0,292848;1,059483;
0,411932;0,401685;0,399746;1,024945;
0,411298;0,402107;0,400188;0,948637;
0,427017;0,418419;0,416507;0,905363;
0,364814;0,357401;0,355518;0,865273;
0,374521;0,369482;0,367645;0,964808;
0,428844;0,423687;0,421844;0,893849;
0,439039;0,434454;0,43263;0,824902;
0,44894;0,442857;0,441002;0,788554;
0,502462;0,496732;0,494888;0,835286;
0,407409;0,400482;0,398615;0,866986;
0,428676;0,421758;0,419895;0,83191;
0,399681;0,393716;0,391868;0,868737;
0,365602;0,360096;0,358259;0,787522;
0,249345;0,244415;0,242578;0,726534;
0,322742;0,317527;0,315689;0,683552;
0,369249;0,363773;0,361931;0,738993;
0,247257;0,242557;0,240728;0,783903;
0,239395;0,234712;0,232881;0,753924;
0,117668;0,11387;0,112047;0,789431;
0,197168;0,193517;0,191694;0,737257;
0,196617;0,192682;0,190855;0,713728;
0,183689;0,179733;0,177908;0,701393;
0,182468;0,178974;0,177158;0,666779;
0,223365;0,219717;0,217893;0,7064;
0,278106;0,274301;0,27248;0,663468;
0,242155;0,238603;0,236787;0,578511;
0,207264;0,203993;0,202179;0,58265;
0,250082;0,247141;0,245344;0,561863;
0,230041;0,227043;0,225248;0,664521;
0,191782;0,188638;0,186842;0,659491;
0,116813;0,112892;0,11108;0,730337;
0,110826;0,107185;0,105381;0,692408;
0,120788;0,117559;0,115759;0,624417;
0,147876;0,144544;0,142744;0,68451;
0,092065;0,088537;0,086731;0,665373;
0,005687;0,002861;0,001072;0,709048;
0,037073;0,03446;0,032673;0,650383;
